Time_step, Time, Epot, Ekin, Etot
1, 0.010000, -0.133862, 0.360133, 0.226271
2, 0.020000, -0.133861, 0.360133, 0.226271
3, 0.030000, -0.133860, 0.360131, 0.226271
4, 0.040000, -0.133857, 0.360129, 0.226272
5, 0.050000, -0.133854, 0.360126, 0.226272
6, 0.060000, -0.133851, 0.360123, 0.226272
7, 0.070000, -0.133847, 0.360119, 0.226272
8, 0.080000, -0.133842, 0.360114, 0.226272
9, 0.090000, -0.133836, 0.360109, 0.226273
10, 0.100000, -0.133830, 0.360103, 0.226273
11, 0.110000, -0.133823, 0.360097, 0.226274
12, 0.120000, -0.133816, 0.360090, 0.226274
13, 0.130000, -0.133807, 0.360082, 0.226275
14, 0.140000, -0.133799, 0.360074, 0.226275
15, 0.150000, -0.133789, 0.360065, 0.226276
16, 0.160000, -0.133779, 0.360055, 0.226276
17, 0.170000, -0.133768, 0.360045, 0.226277
18, 0.180000, -0.133757, 0.360034, 0.226277
19, 0.190000, -0.133745, 0.360023, 0.226278
20, 0.200000, -0.133732, 0.360011, 0.226279
21, 0.210000, -0.133719, 0.359999, 0.226280
22, 0.220000, -0.133705, 0.359985, 0.226281
23, 0.230000, -0.133690, 0.359972, 0.226281
24, 0.240000, -0.133675, 0.359957, 0.226282
25, 0.250000, -0.133659, 0.359942, 0.226283
26, 0.260000, -0.133642, 0.359927, 0.226284
27, 0.270000, -0.133625, 0.359910, 0.226285
28, 0.280000, -0.133607, 0.359894, 0.226286
29, 0.290000, -0.133589, 0.359876, 0.226287
30, 0.300000, -0.133569, 0.359858, 0.226289
31, 0.310000, -0.133550, 0.359839, 0.226290
32, 0.320000, -0.133529, 0.359820, 0.226291
33, 0.330000, -0.133508, 0.359800, 0.226292
34, 0.340000, -0.133486, 0.359780, 0.226293
35, 0.350000, -0.133464, 0.359759, 0.226295
36, 0.360000, -0.133441, 0.359737, 0.226296
37, 0.370000, -0.133417, 0.359714, 0.226297
38, 0.380000, -0.133393, 0.359692, 0.226299
39, 0.390000, -0.133368, 0.359668, 0.226300
40, 0.400000, -0.133342, 0.359644, 0.226302
41, 0.410000, -0.133316, 0.359619, 0.226303
42, 0.420000, -0.133289, 0.359594, 0.226305
43, 0.430000, -0.133261, 0.359568, 0.226307
44, 0.440000, -0.133233, 0.359541, 0.226308
45, 0.450000, -0.133204, 0.359514, 0.226310
46, 0.460000, -0.133174, 0.359486, 0.226312
47, 0.470000, -0.133144, 0.359458, 0.226313
48, 0.480000, -0.133113, 0.359429, 0.226315
49, 0.490000, -0.133082, 0.359399, 0.226317
50, 0.500000, -0.133050, 0.359369, 0.226319
51, 0.510000, -0.133017, 0.359338, 0.226321
52, 0.520000, -0.132984, 0.359307, 0.226323
53, 0.530000, -0.132950, 0.359275, 0.226325
54, 0.540000, -0.132915, 0.359242, 0.226327
55, 0.550000, -0.132880, 0.359209, 0.226329
56, 0.560000, -0.132844, 0.359175, 0.226331
57, 0.570000, -0.132807, 0.359141, 0.226333
58, 0.580000, -0.132770, 0.359105, 0.226335
59, 0.590000, -0.132732, 0.359070, 0.226338
60, 0.600000, -0.132694, 0.359034, 0.226340
61, 0.610000, -0.132655, 0.358997, 0.226342
62, 0.620000, -0.132615, 0.358959, 0.226345
63, 0.630000, -0.132574, 0.358921, 0.226347
64, 0.640000, -0.132533, 0.358883, 0.226349
65, 0.650000, -0.132492, 0.358843, 0.226352
66, 0.660000, -0.132449, 0.358804, 0.226354
67, 0.670000, -0.132406, 0.358763, 0.226357
68, 0.680000, -0.132363, 0.358722, 0.226359
69, 0.690000, -0.132319, 0.358681, 0.226362
70, 0.700000, -0.132274, 0.358638, 0.226365
71, 0.710000, -0.132228, 0.358596, 0.226367
72, 0.720000, -0.132182, 0.358552, 0.226370
73, 0.730000, -0.132136, 0.358508, 0.226373
74, 0.740000, -0.132088, 0.358464, 0.226375
75, 0.750000, -0.132040, 0.358419, 0.226378
76, 0.760000, -0.131992, 0.358373, 0.226381
77, 0.770000, -0.131942, 0.358326, 0.226384
78, 0.780000, -0.131893, 0.358279, 0.226387
79, 0.790000, -0.131842, 0.358232, 0.226390
80, 0.800000, -0.131791, 0.358184, 0.226393
81, 0.810000, -0.131739, 0.358135, 0.226396
82, 0.820000, -0.131687, 0.358086, 0.226399
83, 0.830000, -0.131634, 0.358036, 0.226402
84, 0.840000, -0.131580, 0.357986, 0.226405
85, 0.850000, -0.131526, 0.357934, 0.226408
86, 0.860000, -0.131471, 0.357883, 0.226412
87, 0.870000, -0.131416, 0.357831, 0.226415
88, 0.880000, -0.131360, 0.357778, 0.226418
89, 0.890000, -0.131303, 0.357724, 0.226421
90, 0.900000, -0.131246, 0.357670, 0.226425
91, 0.910000, -0.131188, 0.357616, 0.226428
92, 0.920000, -0.131129, 0.357561, 0.226432
93, 0.930000, -0.131070, 0.357505, 0.226435
94, 0.940000, -0.131010, 0.357449, 0.226438
95, 0.950000, -0.130950, 0.357392, 0.226442
96, 0.960000, -0.130889, 0.357334, 0.226446
97, 0.970000, -0.130827, 0.357276, 0.226449
98, 0.980000, -0.130765, 0.357218, 0.226453
99, 0.990000, -0.130702, 0.357159, 0.226456
100, 1.000000, -0.130639, 0.357099, 0.226460
