Velocity, Probability
0.000000, 0.000085
0.000180, 0.000377
0.000360, 0.000621
0.000540, 0.000805
0.000720, 0.001070
0.000900, 0.001793
0.001080, 0.002869
0.001260, 0.004404
0.001440, 0.006923
0.001620, 0.007982
0.001800, 0.009000
0.001980, 0.011039
0.002160, 0.011806
0.002340, 0.012758
0.002520, 0.015376
0.002700, 0.017106
0.002880, 0.016084
0.003060, 0.017364
0.003240, 0.018856
0.003420, 0.020028
0.003600, 0.021370
0.003780, 0.021700
0.003960, 0.022610
0.004140, 0.023092
0.004320, 0.026957
0.004500, 0.025849
0.004680, 0.029347
0.004860, 0.029727
0.005040, 0.026215
0.005220, 0.027434
0.005400, 0.028292
0.005580, 0.029028
0.005760, 0.028522
0.005940, 0.026710
0.006120, 0.026830
0.006300, 0.025781
0.006480, 0.024292
0.006660, 0.022264
0.006840, 0.023656
0.007020, 0.024854
0.007200, 0.022409
0.007380, 0.020007
0.007560, 0.020139
0.007740, 0.019170
0.007920, 0.019231
0.008100, 0.018039
0.008280, 0.018280
0.008460, 0.015366
0.008640, 0.015082
0.008820, 0.013753
0.009000, 0.011444
0.009180, 0.010681
0.009360, 0.010023
0.009540, 0.010843
0.009720, 0.008657
0.009900, 0.008260
0.010080, 0.007266
0.010260, 0.006245
0.010440, 0.006744
0.010620, 0.006242
0.010800, 0.004519
0.010980, 0.003866
0.011160, 0.004433
0.011340, 0.004703
0.011520, 0.003612
0.011700, 0.002735
0.011880, 0.002609
0.012060, 0.002030
0.012240, 0.001893
0.012420, 0.002075
0.012600, 0.001338
0.012780, 0.001332
0.012960, 0.001156
0.013140, 0.000654
0.013320, 0.000428
0.013500, 0.000432
0.013680, 0.000659
0.013860, 0.000315
0.014040, 0.000258
0.014220, 0.000272
0.014400, 0.000378
0.014580, 0.000322
0.014760, 0.000172
0.014940, 0.000177
0.015120, 0.000103
0.015300, 0.000111
0.015480, 0.000170
0.015660, 0.000073
0.015840, 0.000111
0.016020, 0.000063
0.016200, 0.000076
0.016380, 0.000116
0.016560, 0.000007
0.016740, 0.000009
0.016920, 0.000011
0.017100, 0.000026
0.017280, 0.000000
0.017460, 0.000000
0.017640, 0.000000
0.017820, 0.000000
